client_order_id,symbol,side,qty,ref_price,fill_price,slippage_bps,slippage_$,filled_at
mv4-2026-06-23-buy-HOOD,HOOD,buy,2.0,103.745,103.49,-24.58,-0.51,2026-06-23T21:29:28.213348Z
mv4-2026-06-22-buy-LRCX,LRCX,buy,20.0,406.645,410.5,94.8,77.1,2026-06-22T21:58:56.581968Z
mv4-2026-06-22-buy-AMAT,AMAT,buy,13.0,639.265,640.0,11.5,9.56,2026-06-22T21:58:56.151934Z
mv4-2026-06-24-buy-DASH,DASH,buy,47.0,178.69,177.56,-63.24,-53.11,2026-06-24T20:43:18.957113Z
mv4-2026-06-24-buy-AXON-2,AXON,buy,1.0,459.93,455.16,-103.71,-4.77,2026-06-24T20:43:18.627382Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,204.0,74.925,75.23,40.71,62.22,2026-06-23T21:29:27.859669Z
mv4-2026-06-23-buy-HOOD,HOOD,buy,2.0,103.745,103.49,-24.58,-0.51,2026-06-23T21:29:28.213348Z
mv4-2026-06-22-buy-LRCX,LRCX,buy,20.0,406.645,410.5,94.8,77.1,2026-06-22T21:58:56.581968Z
mv4-2026-06-22-buy-AMAT,AMAT,buy,13.0,639.265,640.0,11.5,9.56,2026-06-22T21:58:56.151934Z
mv4-2026-06-24-buy-DASH,DASH,buy,47.0,178.69,177.56,-63.24,-53.11,2026-06-24T20:43:18.957113Z
mv4-2026-06-24-buy-AXON-2,AXON,buy,1.0,459.93,455.16,-103.71,-4.77,2026-06-24T20:43:18.627382Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,204.0,74.925,75.23,40.71,62.22,2026-06-23T21:29:27.859669Z
mv4-2026-06-23-buy-HOOD,HOOD,buy,2.0,103.745,103.49,-24.58,-0.51,2026-06-23T21:29:28.213348Z
mv4-2026-06-22-buy-LRCX,LRCX,buy,20.0,406.645,410.5,94.8,77.1,2026-06-22T21:58:56.581968Z
mv4-2026-06-22-buy-AMAT,AMAT,buy,13.0,639.265,640.0,11.5,9.56,2026-06-22T21:58:56.151934Z
mv4-2026-06-24-buy-DASH,DASH,buy,47.0,178.69,177.56,-63.24,-53.11,2026-06-24T20:43:18.957113Z
mv4-2026-06-24-buy-AXON-2,AXON,buy,1.0,459.93,455.16,-103.71,-4.77,2026-06-24T20:43:18.627382Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,204.0,74.925,75.23,40.71,62.22,2026-06-23T21:29:27.859669Z
mv4-2026-06-23-buy-HOOD,HOOD,buy,2.0,103.745,103.49,-24.58,-0.51,2026-06-23T21:29:28.213348Z
mv4-2026-06-22-buy-LRCX,LRCX,buy,20.0,406.645,410.5,94.8,77.1,2026-06-22T21:58:56.581968Z
mv4-2026-06-22-buy-AMAT,AMAT,buy,13.0,639.265,640.0,11.5,9.56,2026-06-22T21:58:56.151934Z
