client_order_id,symbol,side,qty,ref_price,fill_price,slippage_bps,slippage_$,filled_at
mv4-2026-06-24-buy-ON,ON,buy,40.0,112.46,113.32,76.47,34.4,2026-06-24T18:29:58.241552Z
mv4-2026-06-24-buy-NOW,NOW,buy,47.0,94.265,94.25,-1.59,-0.71,2026-06-24T18:29:56.597547Z
mv4-2026-06-24-buy-MU,MU,buy,4.0,1030.79,1030.99,1.94,0.8,2026-06-24T18:29:56.207574Z
mv4-2026-06-24-buy-MRVL,MRVL,buy,16.0,272.49,270.65,-67.53,-29.44,2026-06-24T18:29:55.996242Z
mv4-2026-06-24-buy-LRCX,LRCX,buy,12.0,366.3,367.4975,32.69,14.37,2026-06-24T18:29:57.540581Z
mv4-2026-06-24-buy-KLAC,KLAC,buy,18.0,238.805,238.8,-0.21,-0.09,2026-06-24T18:29:57.07116Z
mv4-2026-06-24-buy-INTU,INTU,buy,16.0,268.535,267.62,-34.07,-14.64,2026-06-24T18:29:55.604976Z
mv4-2026-06-24-buy-INTC,INTC,buy,34.0,131.375,131.1712,-15.51,-6.93,2026-06-24T18:29:56.60746Z
mv4-2026-06-24-buy-DELL,DELL,buy,10.0,442.78,431.05,-264.92,-117.3,2026-06-24T18:29:54.937129Z
mv4-2026-06-24-buy-ARM,ARM,buy,12.0,351.695,353.93,63.55,26.82,2026-06-24T18:29:55.964127Z
mv4-2026-06-24-buy-AMD,AMD,buy,8.0,515.18,515.5,6.21,2.56,2026-06-24T18:29:55.050375Z
mv4-2026-06-24-buy-ADBE,ADBE,buy,22.0,198.76,198.84,4.02,1.76,2026-06-24T18:29:54.866979Z
mv4-2026-06-24-buy-ZS,ZS,buy,35.0,125.825,128.01,173.65,76.47,2026-06-24T18:29:58.138542Z
mv4-2026-06-24-buy-WDAY,WDAY,buy,36.0,122.95,120.09,-232.61,-102.96,2026-06-24T18:30:00.171697Z
mv4-2026-06-24-buy-TTD,TTD,buy,250.0,17.975,17.97,-2.78,-1.25,2026-06-24T18:29:57.642786Z
mv4-2026-06-24-buy-SNAP,SNAP,buy,990.0,4.545,4.55,11.0,4.95,2026-06-24T18:29:59.033211Z
mv4-2026-06-24-buy-SEDG,SEDG,buy,90.0,49.635,49.77,27.2,12.15,2026-06-24T18:29:57.598966Z
mv4-2026-06-24-buy-SAP,SAP,buy,27.0,163.64,153.8,-601.32,-265.68,2026-06-24T18:29:57.777089Z
mv4-2026-06-24-buy-PLUG,PLUG,buy,1694.0,2.655,2.66,18.83,8.47,2026-06-24T18:29:57.102264Z
mv4-2026-06-24-buy-PANW,PANW,buy,15.0,286.94,287.3,12.55,5.4,2026-06-24T18:29:57.284113Z
mv4-2026-06-24-buy-ON,ON,buy,40.0,112.46,113.32,76.47,34.4,2026-06-24T18:29:58.241552Z
mv4-2026-06-24-buy-NOW,NOW,buy,47.0,94.265,94.25,-1.59,-0.71,2026-06-24T18:29:56.597547Z
mv4-2026-06-24-buy-MU,MU,buy,4.0,1030.79,1030.99,1.94,0.8,2026-06-24T18:29:56.207574Z
mv4-2026-06-24-buy-MRVL,MRVL,buy,16.0,272.49,270.65,-67.53,-29.44,2026-06-24T18:29:55.996242Z
mv4-2026-06-24-buy-LRCX,LRCX,buy,12.0,366.3,367.4975,32.69,14.37,2026-06-24T18:29:57.540581Z
mv4-2026-06-24-buy-KLAC,KLAC,buy,18.0,238.805,238.8,-0.21,-0.09,2026-06-24T18:29:57.07116Z
mv4-2026-06-24-buy-INTU,INTU,buy,16.0,268.535,267.62,-34.07,-14.64,2026-06-24T18:29:55.604976Z
mv4-2026-06-24-buy-INTC,INTC,buy,34.0,131.375,131.1712,-15.51,-6.93,2026-06-24T18:29:56.60746Z
mv4-2026-06-24-buy-DELL,DELL,buy,10.0,442.78,431.05,-264.92,-117.3,2026-06-24T18:29:54.937129Z
mv4-2026-06-24-buy-ARM,ARM,buy,12.0,351.695,353.93,63.55,26.82,2026-06-24T18:29:55.964127Z
mv4-2026-06-24-buy-AMD,AMD,buy,8.0,515.18,515.5,6.21,2.56,2026-06-24T18:29:55.050375Z
mv4-2026-06-24-buy-ADBE,ADBE,buy,22.0,198.76,198.84,4.02,1.76,2026-06-24T18:29:54.866979Z
mv4-2026-06-24-buy-ZS,ZS,buy,35.0,125.825,128.01,173.65,76.47,2026-06-24T18:29:58.138542Z
mv4-2026-06-24-buy-WDAY,WDAY,buy,36.0,122.95,120.09,-232.61,-102.96,2026-06-24T18:30:00.171697Z
mv4-2026-06-24-buy-TTD,TTD,buy,250.0,17.975,17.97,-2.78,-1.25,2026-06-24T18:29:57.642786Z
mv4-2026-06-24-buy-SNAP,SNAP,buy,990.0,4.545,4.55,11.0,4.95,2026-06-24T18:29:59.033211Z
mv4-2026-06-24-buy-SEDG,SEDG,buy,90.0,49.635,49.77,27.2,12.15,2026-06-24T18:29:57.598966Z
mv4-2026-06-24-buy-SAP,SAP,buy,27.0,163.64,153.8,-601.32,-265.68,2026-06-24T18:29:57.777089Z
mv4-2026-06-24-buy-PLUG,PLUG,buy,1694.0,2.655,2.66,18.83,8.47,2026-06-24T18:29:57.102264Z
mv4-2026-06-24-buy-PANW,PANW,buy,15.0,286.94,287.3,12.55,5.4,2026-06-24T18:29:57.284113Z
mv4-2026-06-24-buy-ON,ON,buy,40.0,112.46,113.32,76.47,34.4,2026-06-24T18:29:58.241552Z
mv4-2026-06-24-buy-NOW,NOW,buy,47.0,94.265,94.25,-1.59,-0.71,2026-06-24T18:29:56.597547Z
mv4-2026-06-24-buy-MU,MU,buy,4.0,1030.79,1030.99,1.94,0.8,2026-06-24T18:29:56.207574Z
mv4-2026-06-24-buy-MRVL,MRVL,buy,16.0,272.49,270.65,-67.53,-29.44,2026-06-24T18:29:55.996242Z
mv4-2026-06-24-buy-LRCX,LRCX,buy,12.0,366.3,367.4975,32.69,14.37,2026-06-24T18:29:57.540581Z
mv4-2026-06-24-buy-KLAC,KLAC,buy,18.0,238.805,238.8,-0.21,-0.09,2026-06-24T18:29:57.07116Z
mv4-2026-06-24-buy-INTU,INTU,buy,16.0,268.535,267.62,-34.07,-14.64,2026-06-24T18:29:55.604976Z
mv4-2026-06-24-buy-INTC,INTC,buy,34.0,131.375,131.1712,-15.51,-6.93,2026-06-24T18:29:56.60746Z
mv4-2026-06-24-buy-DELL,DELL,buy,10.0,442.78,431.05,-264.92,-117.3,2026-06-24T18:29:54.937129Z
mv4-2026-06-24-buy-ARM,ARM,buy,12.0,351.695,353.93,63.55,26.82,2026-06-24T18:29:55.964127Z
mv4-2026-06-24-buy-AMD,AMD,buy,8.0,515.18,515.5,6.21,2.56,2026-06-24T18:29:55.050375Z
mv4-2026-06-24-buy-ADBE,ADBE,buy,22.0,198.76,198.84,4.02,1.76,2026-06-24T18:29:54.866979Z
mv4-2026-06-24-buy-ZS,ZS,buy,35.0,125.825,128.01,173.65,76.47,2026-06-24T18:29:58.138542Z
mv4-2026-06-24-buy-WDAY,WDAY,buy,36.0,122.95,120.09,-232.61,-102.96,2026-06-24T18:30:00.171697Z
mv4-2026-06-24-buy-TTD,TTD,buy,250.0,17.975,17.97,-2.78,-1.25,2026-06-24T18:29:57.642786Z
mv4-2026-06-24-buy-SNAP,SNAP,buy,990.0,4.545,4.55,11.0,4.95,2026-06-24T18:29:59.033211Z
mv4-2026-06-24-buy-SEDG,SEDG,buy,90.0,49.635,49.77,27.2,12.15,2026-06-24T18:29:57.598966Z
mv4-2026-06-24-buy-SAP,SAP,buy,27.0,163.64,153.8,-601.32,-265.68,2026-06-24T18:29:57.777089Z
mv4-2026-06-24-buy-PLUG,PLUG,buy,1694.0,2.655,2.66,18.83,8.47,2026-06-24T18:29:57.102264Z
mv4-2026-06-24-buy-PANW,PANW,buy,15.0,286.94,287.3,12.55,5.4,2026-06-24T18:29:57.284113Z
mv4-2026-06-24-buy-ON,ON,buy,40.0,112.46,113.32,76.47,34.4,2026-06-24T18:29:58.241552Z
mv4-2026-06-24-buy-NOW,NOW,buy,47.0,94.265,94.25,-1.59,-0.71,2026-06-24T18:29:56.597547Z
mv4-2026-06-24-buy-MU,MU,buy,4.0,1030.79,1030.99,1.94,0.8,2026-06-24T18:29:56.207574Z
mv4-2026-06-24-buy-MRVL,MRVL,buy,16.0,272.49,270.65,-67.53,-29.44,2026-06-24T18:29:55.996242Z
mv4-2026-06-24-buy-LRCX,LRCX,buy,12.0,366.3,367.4975,32.69,14.37,2026-06-24T18:29:57.540581Z
mv4-2026-06-24-buy-KLAC,KLAC,buy,18.0,238.805,238.8,-0.21,-0.09,2026-06-24T18:29:57.07116Z
mv4-2026-06-24-buy-INTU,INTU,buy,16.0,268.535,267.62,-34.07,-14.64,2026-06-24T18:29:55.604976Z
mv4-2026-06-24-buy-INTC,INTC,buy,34.0,131.375,131.1712,-15.51,-6.93,2026-06-24T18:29:56.60746Z
mv4-2026-06-24-buy-DELL,DELL,buy,10.0,442.78,431.05,-264.92,-117.3,2026-06-24T18:29:54.937129Z
mv4-2026-06-24-buy-ARM,ARM,buy,12.0,351.695,353.93,63.55,26.82,2026-06-24T18:29:55.964127Z
mv4-2026-06-24-buy-AMD,AMD,buy,8.0,515.18,515.5,6.21,2.56,2026-06-24T18:29:55.050375Z
mv4-2026-06-24-buy-ADBE,ADBE,buy,22.0,198.76,198.84,4.02,1.76,2026-06-24T18:29:54.866979Z
